Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SRR12072404	NA	Contig_143_57.5645	5315	7129	-	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	EXACTX	605	605	100.00	100.00	605	CAA58525.1	multicopper oxidase PcoA	NA	NA
SRR12072404	NA	Contig_183_190.796	3137	3559	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTX	141	141	100.00	92.91	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NA	NA
SRR12072404	NA	Contig_183_190.796	3575	4222	-	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALX	216	429	50.35	94.44	216	BAA24823.1	arsenite efflux transporter membrane subunit ArsB	NA	NA
SRR12072404	NA	Contig_187_88.7592	37047	37934	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTX	296	300	98.67	92.57	296	BAB89353.1	CDF family cation-efflux transporter FieF	NA	NA
SRR12072404	NA	Contig_208_96.8667	19710	20891	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	394	394	100.00	94.67	394	ACN65732.1	multidrug efflux MFS transporter EmrD	NA	NA
SRR12072404	NA	Contig_232_87.4002	18867	19289	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTX	141	141	100.00	94.33	141	BAA24824.1	glutaredoxin-dependent arsenate reductase	NA	NA
SRR12072404	NA	Contig_232_87.4002	19309	20595	-	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	429	429	100.00	96.27	429	BAA24823.1	arsenite efflux transporter membrane subunit ArsB	NA	NA
SRR12072404	NA	Contig_33_70.0702	984	1406	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTX	141	141	100.00	95.74	141	AAB09628.1	glutaredoxin-dependent arsenate reductase	NA	NA
SRR12072404	NA	Contig_33_70.0702	1422	2708	-	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	429	429	100.00	98.37	429	BAA24823.1	arsenite efflux transporter membrane subunit ArsB	NA	NA
SRR12072404	NA	Contig_33_70.0702	2759	4507	-	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	583	583	100.00	98.28	583	AAB09626.1	arsenite efflux transporter ATPase subunit ArsA	NA	NA
SRR12072404	NA	Contig_33_70.0702	4528	4887	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.00	98.33	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NA	NA
SRR12072404	NA	Contig_33_70.0702	4938	5288	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTX	117	117	100.00	100.00	117	AAB09624.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
SRR12072404	NA	Contig_47_75.5491	13175	16324	-	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	1050	1050	100.00	97.24	1050	WP_012967412.1	multidrug efflux RND transporter permease subunit OqxB9	NA	NA
SRR12072404	NA	Contig_47_75.5491	16352	17524	-	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	391	391	100.00	91.05	391	WP_002914189.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NA	NA
SRR12072404	NA	Contig_82_59.9719	18247	18675	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTX	143	143	100.00	92.31	143	AAD11743.1	silver-binding protein SilE	NA	NA
SRR12072404	NA	Contig_88_115.386	9051	9929	+	blaKPC-3	carbapenem-hydrolyzing class A beta-lactamase KPC-3	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.00	100.00	293	WP_004152396.1	carbapenem-hydrolyzing class A beta-lactamase KPC-3	NA	NA
SRR12072404	NA	Contig_91_88.322	11376	12245	+	blaOXY	OXY-1 family class A extended-spectrum beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	290	290	100.00	99.66	290	WP_049101515.1	class A extended-spectrum beta-lactamase OXY-1-4	NA	NA
SRR12072404	NA	Contig_97_72.6793	2801	3151	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	117	117	100.00	90.60	117	AAB09624.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
SRR12072643	NA	Contig_102_66.0267	41757	42929	+	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	391	391	100.00	92.58	391	WP_002914189.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NA	NA
SRR12072643	NA	Contig_102_66.0267	42956	46105	+	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	1050	1050	100.00	96.86	1050	WP_012967412.1	multidrug efflux RND transporter permease subunit OqxB9	NA	NA
SRR12072643	NA	Contig_107_65.4276	5277	6419	-	blaACT-45	cephalosporin-hydrolyzing class C beta-lactamase ACT-45	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_032608349.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-45	NA	NA
SRR12072643	NA	Contig_120_114.044	223	876	+	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTX	218	219	99.54	100.00	218	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase	NA	NA
SRR12072643	NA	Contig_125_96.4414	350	1159	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.00	100.00	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1	NA	NA
SRR12072643	NA	Contig_125_96.4414	1166	1528	+	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.00	100.00	121	WP_004201167.1	bleomycin binding protein Ble-MBL	NA	NA
SRR12072643	NA	Contig_198_75.7144	4633	5064	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	144	144	100.00	100.00	144	BAA36431.1	mercury resistance transcriptional regulator MerR	NA	NA
SRR12072643	NA	Contig_198_75.7144	5362	5997	+	merB	organomercurial lyase MerB	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTX	212	212	100.00	100.00	212	AAA88369.1	organomercurial lyase MerB	NA	NA
SRR12072643	NA	Contig_198_75.7144	6112	6474	+	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	121	121	100.00	99.17	121	AAA88370.1	mercury resistance co-regulator MerD	NA	NA
SRR12072643	NA	Contig_19_62.5501	20123	20998	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTX	292	300	97.33	90.41	292	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
SRR12072643	NA	Contig_213_75.3199	23983	24411	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	EXACTX	143	143	100.00	100.00	143	AAD11743.1	silver-binding protein SilE	NA	NA
SRR12072643	NA	Contig_215_72.3441	23442	23873	-	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTX	144	144	100.00	92.36	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA
SRR12072643	NA	Contig_215_72.3441	24094	25491	-	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTX	466	466	100.00	99.57	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA
SRR12072643	NA	Contig_215_72.3441	25491	26168	-	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTX	226	226	100.00	100.00	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA
SRR12072643	NA	Contig_215_72.3441	26226	27152	-	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	EXACTX	309	309	100.00	100.00	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA
SRR12072643	NA	Contig_215_72.3441	27160	27537	-	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTX	126	126	100.00	100.00	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA
SRR12072643	NA	Contig_215_72.3441	27580	28467	-	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	EXACTX	296	296	100.00	100.00	296	CAA58526.1	copper-binding protein PcoB	NA	NA
SRR12072643	NA	Contig_215_72.3441	28476	30290	-	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTX	605	605	100.00	99.67	605	CAA58525.1	multicopper oxidase PcoA	NA	NA
SRR12072643	NA	Contig_215_72.3441	32275	34740	-	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTX	822	824	99.64	95.14	823	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA
SRR12072643	NA	Contig_215_72.3441	35376	38519	-	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	1048	1048	100.00	98.66	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA
SRR12072643	NA	Contig_215_72.3441	38533	39822	-	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	430	430	100.00	96.28	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA
SRR12072643	NA	Contig_215_72.3441	39939	40289	-	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	117	117	100.00	97.44	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA
SRR12072643	NA	Contig_215_72.3441	40320	41702	-	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	461	461	100.00	98.05	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA
SRR12072643	NA	Contig_215_72.3441	41892	42569	+	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	226	226	100.00	97.79	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA
SRR12072643	NA	Contig_215_72.3441	42565	43761	+	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	PARTIAL_CONTIG_ENDX	399	491	81.26	98.75	399	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA
SRR12072643	NA	Contig_238_69.7846	493	1134	+	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_014386481.1	quinolone resistance pentapeptide repeat protein QnrB1	NA	NA
SRR12072643	NA	Contig_28_79.4914	9803	10933	-	ncrC	Ni(II)/Co(II) efflux transporter permease subunit NcrC	plus	STRESS	METAL	COPPER/NICKEL	COPPER/NICKEL	BLASTX	377	376	99.73	94.96	377	ADF64798.1	Ni(II)/Co(II) efflux transporter permease subunit NcrC	NA	NA
SRR12072643	NA	Contig_28_79.4914	10949	11215	-	nirB	nickel-sensing transcriptional repressor NirB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	89	89	100.00	96.63	89	AAR82964.1	nickel-sensing transcriptional repressor NirB	NA	NA
SRR12072643	NA	Contig_28_79.4914	11323	12606	-	ncrA	Metal Resistance	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	428	432	100.00	93.98	432	ABF61434.1	Metal Resistance	NA	NA
SRR12072643	NA	Contig_2_76.0171	5395	5970	-	terD	tellurium resistance membrane protein TerD	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTX	192	192	100.00	95.31	192	AAA98292.1	tellurium resistance membrane protein TerD	NA	NA
SRR12072643	NA	Contig_2_76.0171	6022	7059	-	terC	tellurium resistance membrane protein TerC	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTX	346	346	100.00	90.46	346	AAA98291.1	tellurium resistance membrane protein TerC	NA	NA
SRR12072643	NA	Contig_2_76.0171	7085	7537	-	terB	tellurium resistance membrane protein TerB	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTX	151	151	100.00	90.73	151	ACI12150.1	tellurium resistance membrane protein TerB	NA	NA
SRR12072643	NA	Contig_2_76.0171	8720	9298	-	terZ	tellurium resistance-associated protein TerZ	plus	STRESS	METAL	TELLURIUM	TELLURIUM	EXACTX	193	193	100.00	100.00	193	AAA86846.1	tellurium resistance-associated protein TerZ	NA	NA
SRR12072643	NA	Contig_2_76.0171	15869	16333	+	terW	tellurium resistance protein TerW	plus	STRESS	METAL	TELLURIUM	TELLURIUM	EXACTX	155	155	100.00	100.00	155	AAC44736.1	tellurium resistance protein TerW	NA	NA
SRR12072643	NA	Contig_50_78.9233	7391	7813	-	fosA	FosA/FosA2 family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	141	141	100.00	95.04	141	WP_038415208.1	fosfomycin resistance glutathione transferase FosA	NA	NA
SRR12072643	NA	Contig_51_91.8807	6838	7269	-	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTX	144	144	100.00	91.67	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA
SRR12072643	NA	Contig_51_91.8807	7490	8701	-	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	PARTIALX	404	466	86.70	98.02	404	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA
SRR12072643	NA	Contig_5_56.0119	167	955	-	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_046622360.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
SRR12072643	NA	Contig_67_69.8394	12356	12775	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTX	140	141	99.29	90.00	140	AAA21096.1	glutaredoxin-dependent arsenate reductase	NA	NA
SRR12072394	NA	Contig_100_265.854	15	827	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
SRR12072394	NA	Contig_124_103.597	3372	4658	-	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	429	429	100.00	90.21	429	AAB42204.1	arsenite efflux transporter membrane subunit ArsB	NA	NA
SRR12072394	NA	Contig_124_103.597	5109	5804	+	arsH	arsenic resistance NADPH-dependent reductase ArsH	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	232	232	100.00	91.81	232	ADW66881.1	arsenic resistance NADPH-dependent reductase ArsH	NA	NA
SRR12072394	NA	Contig_186_256.31	2	763	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	254	262	96.95	100.00	254	WP_001206315.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
SRR12072394	NA	Contig_20_108.136	181	414	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	78	78	100.00	94.87	78	AAC38236.1	broad-spectrum mercury transporter MerE	NA	NA
SRR12072394	NA	Contig_20_108.136	414	776	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	121	121	100.00	90.08	121	AAC38221.1	mercury resistance co-regulator MerD	NA	NA
SRR12072394	NA	Contig_20_108.136	797	2479	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	561	561	100.00	93.23	561	ACU65296.1	mercury(II) reductase	NA	NA
SRR12072394	NA	Contig_20_108.136	3265	3609	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	115	116	99.14	99.13	115	CAA70196.1	mercuric transport protein MerT	NA	NA
SRR12072394	NA	Contig_20_108.136	3714	4139	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
SRR12072394	NA	Contig_223_126.539	2670	3548	-	blaKPC-2	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.00	100.00	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	NA	NA
SRR12072394	NA	Contig_243_102.68	18612	19754	+	blaCMY-48	class C beta-lactamase CMY-48	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_044699195.1	class C beta-lactamase CMY-48	NA	NA
SRR12072394	NA	Contig_24_127.151	52	873	+	blaOXA-9	oxacillin-hydrolyzing class D beta-lactamase OXA-9	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	274	274	100.00	100.00	274	WP_000722315.1	oxacillin-hydrolyzing class D beta-lactamase OXA-9	NA	NA
SRR12072394	NA	Contig_255_136.112	2	838	+	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	279	286	97.55	100.00	279	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
SRR12072394	NA	Contig_255_136.112	1565	2398	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
SRR12072394	NA	Contig_255_136.112	2401	3225	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.00	100.00	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
SRR12072394	NA	Contig_269_96.5146	2	1192	-	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	PARTIAL_CONTIG_ENDX	397	491	80.86	98.74	397	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA
SRR12072394	NA	Contig_269_96.5146	1188	1865	-	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	226	226	100.00	97.35	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA
SRR12072394	NA	Contig_269_96.5146	2055	3437	+	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	461	461	100.00	98.05	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA
SRR12072394	NA	Contig_269_96.5146	3468	3818	+	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	117	117	100.00	97.44	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA
SRR12072394	NA	Contig_269_96.5146	3935	5224	+	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	430	430	100.00	96.28	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA
SRR12072394	NA	Contig_269_96.5146	5238	8381	+	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	1048	1048	100.00	98.66	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA
SRR12072394	NA	Contig_269_96.5146	9017	10984	+	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	PARTIALX	656	824	79.25	93.00	657	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA
SRR12072394	NA	Contig_274_124.742	62	613	-	aac(6')-Ib'	aminoglycoside N-acetyltransferase AAC(6')-Ib'	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	184	184	100.00	100.00	184	WP_014454105.1	aminoglycoside N-acetyltransferase AAC(6')-Ib'	NA	NA
SRR12072394	NA	Contig_275_103.861	12117	12545	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	EXACTX	143	143	100.00	100.00	143	AAD11743.1	silver-binding protein SilE	NA	NA
SRR12072394	NA	Contig_33_94.8944	112	543	-	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTX	144	144	100.00	92.36	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA
SRR12072394	NA	Contig_33_94.8944	764	2161	-	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTX	466	466	100.00	99.57	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA
SRR12072394	NA	Contig_33_94.8944	2161	2838	-	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTX	226	226	100.00	100.00	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA
